Date/Time,InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,310200840.0,500660214.62233576 
 01/01  02:00:00,310200840.0,500651551.9192818 
 01/01  03:00:00,310200840.0,500626074.3006187 
 01/01  04:00:00,310200840.0,500590977.6724333 
 01/01  05:00:00,310200840.0,501301366.997048 
 01/01  06:00:00,310200840.0,501206180.49015989 
 01/01  07:00:00,310200840.0,501280961.44512668 
 01/01  08:00:00,283866779.5005017,449493601.3139429 
 01/01  09:00:00,205538061.63580437,358655530.4399199 
 01/01  10:00:00,192146143.49266673,345462382.12300327 
 01/01  11:00:00,187646026.89442004,341018461.0937356 
 01/01  12:00:00,187006930.92674295,342871345.743098 
 01/01  13:00:00,187232870.6424116,346445043.9716193 
 01/01  14:00:00,187678112.21445579,349488657.25046589 
 01/01  15:00:00,190411195.1556573,361854574.66409197 
 01/01  16:00:00,197147280.67404885,366576475.51441618 
 01/01  17:00:00,288606166.43961,448301040.2933884 
 01/01  18:00:00,310200840.0,501346632.06674596 
 01/01  19:00:00,310200840.0,501287327.70404747 
 01/01  20:00:00,310200840.0,502014256.87711825 
 01/01  21:00:00,310200840.0,501870471.1076482 
 01/01  22:00:00,310200840.0,501390988.6380607 
 01/01  23:00:00,310200840.0,500768746.7232189 
 01/01  24:00:00,310200840.0,503227134.77598616 
 01/02  01:00:00,310200840.0,500699025.88459196 
 01/02  02:00:00,310200840.0,500660347.7722452 
 01/02  03:00:00,310200840.0,500583891.38681277 
 01/02  04:00:00,310200840.0,500516371.6120576 
 01/02  05:00:00,310200840.0,501272962.1025138 
 01/02  06:00:00,310200840.0,501269103.2652523 
 01/02  07:00:00,310200840.0,547345845.8903166 
 01/02  08:00:00,282735689.5986586,494251653.693547 
 01/02  09:00:00,204402212.24443303,631162222.7683392 
 01/02  10:00:00,190605593.99120645,616756635.5448705 
 01/02  11:00:00,187330556.6560292,636412219.1048532 
 01/02  12:00:00,187255477.64359064,651786230.2869872 
 01/02  13:00:00,187511939.4779823,654445986.1323407 
 01/02  14:00:00,187129429.99035568,640261570.9830204 
 01/02  15:00:00,190358034.25725163,630149209.2577596 
 01/02  16:00:00,196316636.85048206,620113461.3039616 
 01/02  17:00:00,289497770.4635465,714602617.0757029 
 01/02  18:00:00,310200840.0,542406158.5477895 
 01/02  19:00:00,310200840.0,542682512.1901254 
 01/02  20:00:00,310200840.0,543678997.1612227 
 01/02  21:00:00,310200840.0,543785301.8607493 
 01/02  22:00:00,310200840.0,501145201.73061886 
 01/02  23:00:00,310200840.0,500715131.7226928 
 01/02  24:00:00,310200840.0,503352491.3815549 
 01/03  01:00:00,310200840.0,500756111.9228021 
 01/03  02:00:00,310200840.0,500774656.44995388 
 01/03  03:00:00,310200840.0,500850687.1443785 
 01/03  04:00:00,310200840.0,500956298.05224308 
 01/03  05:00:00,310200840.0,504896419.57638 
 01/03  06:00:00,310200840.0,504465623.76899936 
 01/03  07:00:00,310200840.0,547189394.4233155 
 01/03  08:00:00,281536174.60401496,490595513.5682809 
 01/03  09:00:00,204629959.40961886,630852775.9493247 
 01/03  10:00:00,190309625.6409951,620960447.5265854 
 01/03  11:00:00,187234506.51875029,631885699.1170617 
 01/03  12:00:00,186738642.19068123,649026451.3623726 
 01/03  13:00:00,187221615.165409,670440922.5795279 
 01/03  14:00:00,187471629.28258313,668768674.7697919 
 01/03  15:00:00,190696880.73671905,673661975.4492759 
